frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
53,3.0,[645.9770528801733 1539.649287068829 1381.3639993058655 2152.517407837156],[882.3886108398438 1969.015869140625 1132.5867919921875 2088.2548828125],0.6079164147377014,NA13NRU,0.3694733120954068
54,3.0,[639.6811220243511 1544.0459530235496 1379.875380326439 2152.505405786883],[880.65966796875 1975.752685546875 1132.2213134765625 2101.61279296875],0.6462454199790955,NA13MRU,0.20836924189403896
55,3.0,[637.6314964798663 1546.4415656401761 1380.5108966321964 2151.7382279001836],[880.6693725585938 1975.784912109375 1132.1451416015625 2101.554931640625],0.6463595032691956,NA13MRU,0.20836924189403896
56,3.0,[636.4029768994696 1550.2569479895587 1378.94095967549 2152.164510717452],[880.642333984375 1981.7362060546875 1129.61962890625 2101.95849609375],0.6630418300628662,NA13NRU,0.11827999421053799
58,5.0,[2211.1301706271447 1278.9758028484084 2862.486442205202 1930.2285283708666],[2452.456298828125 1726.822265625 2627.6875 1818.275390625],0.6593749523162842,NU51GSV,0.03547476620771192
58,3.0,[629.9809815771598 1558.2746793817614 1372.972911530204 2152.495473315123],[874.2213134765625 1989.71337890625 1125.3819580078125 2109.078369140625],0.6289637684822083,MA13NRU,0.28184985829674275
59,5.0,[2210.198189322496 1281.2091834456724 2861.359491381429 1935.87242589696],[2448.470458984375 1727.1622314453125 2632.448974609375 1816.2862548828125],0.6453740000724792,NZ51TSU,0.015011575698342916
59,3.0,[631.9812501142117 1563.035169751924 1374.0581085187093 2152.971806000449],[870.4429321289062 2004.400390625 1130.5548095703125 2115.8701171875],0.570713460445404,NA13NRU,0.4503707154988791
60,3.0,[632.8344941330874 1565.5166517959676 1372.920896498368 2152.3565762330795],[864.47412109375 2006.041015625 1126.864990234375 2125.757568359375],0.6297181844711304,NA13NRU,0.31215945529493994
61,3.0,[633.5503637072811 1566.939978549428 1372.175016219545 2151.5053412028724],[864.4276123046875 2005.98486328125 1126.974609375 2125.739501953125],0.6297262907028198,MA13NRU,0.29896873304657934
64,5.0,[2214.099564198931 1297.5409544246204 2868.383942814684 1956.960338963498],[2444.1884765625 1742.291748046875 2637.20068359375 1842.697265625],0.6321873664855957,NU51VSU,0.6380771382939829
64,3.0,[631.3712541254727 1581.6969525235522 1368.4546050193694 2151.9985802806423],[860.7658081054688 2025.8031005859375 1126.2906494140625 2143.567626953125],0.6220042705535889,NA13NPU,0.4200779137757683
65,3.0,[624.1527830763706 1586.4682256496872 1364.560089584998 2151.5653678697468],[872.7463989257812 2034.08056640625 1121.0670166015625 2148.734619140625],0.650248110294342,NA13NRU,0.4565049638170471
69,5.0,[2215.9745512172244 1315.2695283913786 2872.81631655525 1972.0757904732213],[2449.5712890625 1764.184326171875 2646.495361328125 1861.5916748046875],0.6476865410804749,MT51YSU,0.06412275049045167
