frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
299,1,2050.0680849525593 1269.7634385608108 2656.648041283696 1780.3459100756345,2270.900146484375 1580.3397216796875 2478.7841796875 1670.5872802734375,0.3230527937412262,AP05JEO,0.2675103211847554
300,1,2050.5094740886125 1271.5272714871576 2659.699788418702 1783.4705422507893,2270.5902506510415 1581.1903483072917 2479.1744791666665 1671.2136637369792,0,0,0
301,1,2050.950863224666 1273.2911044135044 2662.751535553708 1786.5951744259444,2270.2803548177085 1582.0409749348958 2479.5647786458335 1671.8400472005208,0,0,0
302,1,2051.3922523607193 1275.0549373398512 2665.8032826887143 1789.7198066010992,2269.970458984375 1582.8916015625 2479.955078125 1672.4664306640625,0.2689475417137146,AP05JEO,0.6334009109362775
303,1,2053.6257682613978 1277.916088849638 2664.856330438133 1792.7769990134143,2270.3349609375 1584.6361083984375 2474.16650390625 1673.6455078125,0.3081534504890442,AP05JEQ,0.39990938136202964
304,1,2047.273158020181 1279.969550653387 2660.796089805359 1794.4472984487654,2259.072509765625 1584.55517578125 2479.406982421875 1676.162841796875,0.2601979076862335,AP05JEQ,0.8510254522189776
305,1,2046.2453061868077 1282.1857605480695 2659.449200548099 1797.256431839587,2257.2037353515625 1586.8992919921875 2479.7750244140625 1686.4341430664062,0,0,0
306,1,2045.2174543534345 1284.401970442752 2658.1023112908388 1800.0655652304085,2255.3349609375 1589.243408203125 2480.14306640625 1696.7054443359375,0.3607974052429199,AP05JEQ,0.7038151766765892
307,1,2044.4238259770534 1285.183225607471 2658.140031689923 1801.5967714527771,2255.39501953125 1589.260009765625 2480.124755859375 1696.674072265625,0.3651219308376312,AP05JEQ,0.6376406795367789
308,1,2044.6317207699744 1285.3147363698283 2661.3826382353977 1803.245942790679,2267.833251953125 1596.779296875 2480.8896484375 1699.31396484375,0.5650200247764587,AP05JEO,0.7549863684126819
309,1,2045.76356035728 1286.672944332033 2664.2768935377917 1805.7532410385072,2259.25927734375 1595.997802734375 2480.918701171875 1695.986572265625,0.3808708190917969,AP05JEO,0.4393767210752258
310,1,2048.9721390931695 1290.7645096999618 2670.745997555502 1809.8404269270118,2264.5980224609375 1600.7373046875 2489.5833740234375 1699.525634765625,0,0,0
311,1,2052.1807178290587 1294.8560750678907 2677.215101573213 1813.9276128155166,2269.936767578125 1605.476806640625 2498.248046875 1703.064697265625,0.5504365563392639,AP05JEO,0.557142833597582
312,1,2054.6924800886973 1301.3829934981477 2676.5005385026416 1819.9828481740647,2268.237548828125 1611.9517822265625 2491.59765625 1706.7388916015625,0.4954438805580139,AP05JEO,0.5249353595090809
313,1,2055.7768332594173 1303.9054821217196 2675.0898278083246 1822.2803017891933,2268.197265625 1612.099365234375 2491.800537109375 1706.578125,0.49612849950790405,AP05JEO,0.31807439614702976
314,1,2051.8678001902904 1304.3697197860927 2669.2846673220533 1823.819191269239,2259.7294921875 1610.56787109375 2498.34521484375 1705.352783203125,0.5261302590370178,AP05JEO,0.6541585202234024
315,1,2054.3003698614234 1307.3010755562696 2668.5449431141437 1827.1367521458214,2262.9267578125 1615.553466796875 2502.057373046875 1704.79833984375,0.31496819853782654,AP05JEO,0.3195837698607704
316,1,2050.5343436720314 1307.6947314579245 2667.0283749275777 1827.8802148978577,2278.358154296875 1621.58203125 2491.539794921875 1717.915283203125,0.5592772960662842,AP05JEO,0.6295120762949841
317,1,2045.4966753328085 1308.906180040431 2665.3228623989567 1830.0362924488431,2278.040771484375 1623.87890625 2490.499267578125 1716.62109375,0.44270551204681396,AP05JEO,0.5698806725952442
318,1,2047.8562267058717 1310.5649981547276 2667.5306227681776 1832.413426079409,2277.7919921875 1624.9474283854167 2493.5454915364585 1719.0856119791667,0,0,0
319,1,2050.215778078935 1312.2238162690244 2669.738383137398 1834.790559709975,2277.543212890625 1626.0159505208333 2496.5917154947915 1721.5501302083333,0,0,0
320,1,2052.5753294519977 1313.882634383321 2671.946143506619 1837.1676933405408,2277.29443359375 1627.08447265625 2499.637939453125 1724.0146484375,0.3992951512336731,AP05JEO,0.4468008949960979
321,1,2057.7745807853025 1316.7626361903276 2673.8386928007913 1840.4597629862164,2270.93994140625 1632.579345703125 2491.891845703125 1718.15625,0.30081143975257874,AP05JEO,0.28010333150924377
322,1,2055.6473857741357 1320.0888935875005 2672.296215545187 1844.9247409730447,2265.2662353515625 1634.061767578125 2498.441162109375 1730.3309326171875,0,0,0
323,1,2053.5201907629694 1323.4151509846731 2670.753738289583 1849.3897189598727,2259.592529296875 1635.544189453125 2504.990478515625 1742.505615234375,0.31524547934532166,AP05JEO,0.22599993103000307
324,1,2049.5119021010655 1325.2456698985407 2671.834134697591 1853.60006453918,2265.460693359375 1642.159423828125 2514.730224609375 1746.025634765625,0.4882781505584717,AP05JEO,0.5019240329972725
325,1,2047.05597563986 1325.4760036729128 2672.906452009959 1855.5177153744728,2265.479736328125 1642.20849609375 2514.72509765625 1745.99560546875,0.48784714937210083,AP05JEO,0.5019240329972725
326,1,2050.0593376765923 1327.5432187517713 2675.9135261107012 1858.470907910037,2273.4345703125 1649.927490234375 2516.468994140625 1748.6281127929688,0,0,0
327,1,2053.0626997133245 1329.6104338306295 2678.920600211444 1861.4241004456012,2281.389404296875 1657.646484375 2518.212890625 1751.2606201171875,0.32642480731010437,AP05JEO,0.3002296157313996
328,1,2059.47378015522 1332.5581898015514 2682.8432113542367 1866.983063174501,2273.87841796875 1657.94873046875 2515.752685546875 1755.37255859375,0.5329912900924683,AP05JED,0.2568558059314606
329,1,2059.9195026300627 1334.4247273555434 2683.8193857587744 1871.4415844752066,2271.135498046875 1656.6431884765625 2519.32763671875 1752.9412841796875,0.4121527671813965,AP05JEO,0.27341917622843503
330,1,2068.462403094968 1336.5091920550663 2687.4901334817823 1875.731501421125,2273.316650390625 1658.51416015625 2513.003662109375 1759.1796875,0.414070188999176,AP05JEO,0.3582307516284708
331,1,2072.634102056689 1336.831526690721 2688.0614393956475 1877.7176151476372,2273.471923828125 1658.4976806640625 2513.041748046875 1759.291015625,0.4133535325527191,AP05JEO,0.24823959344840066
332,1,2071.0212395146423 1341.5313000218523 2686.6836332385315 1882.6244016998726,2275.5052490234375 1665.5383911132812 2515.8101806640625 1759.854736328125,0,0,0
333,1,2069.4083769725958 1346.2310733529837 2685.3058270814154 1887.531188252108,2277.53857421875 1672.5791015625 2518.57861328125 1760.41845703125,0.29784679412841797,AP05JED,0.18813309141949172
334,1,2071.0991739981846 1348.0556135300235 2686.883984150632 1889.2937563329863,2278.0848388671875 1674.3535766601562 2519.8822021484375 1766.0308227539062,0,0,0
335,1,2072.7899710237734 1349.880153707063 2688.4621412198485 1891.0563244138643,2278.631103515625 1676.1280517578125 2521.185791015625 1771.6431884765625,0,0,0
336,1,2074.4807680493623 1351.7046938841029 2690.040298289065 1892.8188924947426,2279.1773681640625 1677.9025268554688 2522.4893798828125 1777.2555541992188,0,0,0
337,1,2076.171565074951 1353.5292340611427 2691.6184553582816 1894.581460575621,2279.7236328125 1679.677001953125 2523.79296875 1782.867919921875,0,0,0
